STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
MAHARASHTRA,SOLAPUR RURAL,2008,44,15,4,52,0,130,0
MAHARASHTRA,THANE COMMR.,2008,51,35,4,66,29,153,0
MAHARASHTRA,THANE RURAL,2008,51,16,6,101,23,107,0
MAHARASHTRA,WARDHA,2008,25,15,1,81,4,67,0
MAHARASHTRA,WASHIM,2008,15,10,9,60,12,119,0
MAHARASHTRA,YAVATMAL,2008,50,35,12,135,16,170,0
MAHARASHTRA,TOTAL,2008,1268,626,368,2661,682,5452,0
MANIPUR,BISHNUPUR,2008,2,6,0,16,0,0,0
MANIPUR,CHANDEL,2008,0,1,0,0,0,0,0
MANIPUR,CHURACHANDPUR,2008,0,0,0,2,0,0,0
MANIPUR,IMPHAL(EAST),2008,3,10,0,2,0,0,0
MANIPUR,IMPHAL(WEST),2008,5,24,0,22,0,1,0
MANIPUR,SENAPATI,2008,0,1,0,0,0,0,0
MANIPUR,TAMENGLONG,2008,0,0,0,0,0,0,0
MANIPUR,THOUBAL,2008,8,26,0,1,0,3,0
MANIPUR,UKHRUL,2008,0,3,0,1,0,0,0
MANIPUR,TOTAL,2008,18,71,0,44,0,4,0
MEGHALAYA,GARO HILLS EAST,2008,1,0,0,0,0,0,0
MEGHALAYA,GARO HILLS SOUTH,2008,3,0,0,1,0,0,0
MEGHALAYA,GARO HILLS WEST,2008,6,0,0,5,0,0,0
MEGHALAYA,JAINTIA HILLS,2008,11,0,0,0,0,0,0
MEGHALAYA,KHASI HILLS EAST,2008,10,7,0,7,1,4,0
MEGHALAYA,KHASI HILLS WEST,2008,6,0,0,0,0,0,0
MEGHALAYA,RI-BHOI,2008,3,3,0,0,0,0,0
MEGHALAYA,TOTAL,2008,40,10,0,13,1,4,0
MIZORAM,AIZAWL,2008,24,1,0,25,0,3,0
MIZORAM,CHAMPHAI,2008,10,0,0,11,0,0,0
MIZORAM,KOLASIB,2008,5,0,0,11,0,0,0
MIZORAM,LAWNGTLAI,2008,1,0,0,6,0,0,0
MIZORAM,LUNGLEI,2008,6,0,0,15,0,0,0
MIZORAM,MAMIT,2008,1,0,0,0,0,0,0
MIZORAM,SAIHA,2008,4,1,0,11,0,0,0
MIZORAM,SERCHHIP,2008,3,0,0,9,0,0,0
MIZORAM,TOTAL,2008,54,2,0,88,0,3,0
NAGALAND,DIMAPUR,2008,2,2,0,0,0,0,1
NAGALAND,KIPHIRE,2008,1,0,0,0,0,0,0
NAGALAND,KOHIMA,2008,5,0,0,4,0,0,0
NAGALAND,MOKOKCHUNG,2008,1,0,0,0,2,0,0
NAGALAND,MON,2008,2,0,0,0,0,0,0
NAGALAND,PEREN,2008,1,0,0,0,0,0,0
NAGALAND,PHEK,2008,2,0,0,0,0,0,0
NAGALAND,TUENSANG,2008,0,0,0,0,0,0,0
NAGALAND,WOKHA,2008,0,1,0,0,0,0,0
NAGALAND,ZUNHEBOTO,2008,0,0,0,0,0,0,0
NAGALAND,TOTAL,2008,14,3,0,4,2,0,1
ODISHA,ANGUL,2008,20,9,18,111,0,36,0
ODISHA,BALASORE,2008,49,32,30,61,25,44,0
ODISHA,BARAGARH,2008,30,4,10,70,3,91,0
ODISHA,BERHAMPUR,2008,12,1,4,47,3,18,0
ODISHA,BHADRAK,2008,25,21,21,49,2,67,0
ODISHA,BOLANGIR,2008,25,4,0,95,5,38,0
ODISHA,BOUDH,2008,11,4,1,32,1,10,0
ODISHA,CUTTACK,2008,32,26,47,27,1,122,0
ODISHA,DEOGARH,2008,5,9,0,52,3,12,0
ODISHA,DHENKANAL,2008,9,7,3,67,10,27,0
ODISHA,GAJAPATI,2008,4,4,3,21,1,7,0
ODISHA,GANJAM,2008,17,9,13,185,10,46,0
ODISHA,JAGATSINGHPUR,2008,13,15,12,9,4,29,0
ODISHA,JAJPUR,2008,17,21,19,18,0,73,0
ODISHA,JHARSUGUDA,2008,15,8,0,38,4,23,0
ODISHA,KALAHANDI,2008,18,9,5,22,6,11,0
ODISHA,KANDHAMAL,2008,35,23,2,84,7,75,0
ODISHA,KENDRAPARA,2008,10,12,12,14,0,12,0
ODISHA,KEONJHAR,2008,37,25,14,84,17,55,0
ODISHA,KHURDA,2008,57,35,29,39,19,131,0
ODISHA,KORAPUT,2008,38,21,0,82,4,51,0
ODISHA,MALKANGIR,2008,17,4,1,16,1,6,0
ODISHA,MAYURBHANJ,2008,70,2,11,120,8,135,0
ODISHA,NAYAGARH,2008,15,11,12,10,2,15,0
ODISHA,NOWRANGPUR,2008,26,15,0,44,5,19,0
ODISHA,NUAPADA,2008,6,0,0,21,13,16,0
ODISHA,PURI,2008,39,14,0,7,0,24,0
ODISHA,RAYAGADA,2008,14,5,4,44,3,27,0
ODISHA,ROURKELA,2008,10,3,1,31,6,21,0
ODISHA,SAMBALPUR,2008,22,9,1,61,13,15,0
ODISHA,SONEPUR,2008,4,2,1,44,1,8,0
ODISHA,SRP(CUTTACK),2008,1,2,0,9,1,3,0
ODISHA,SRP(ROURKELA),2008,1,1,0,3,0,0,0
ODISHA,SUNDARGARH,2008,21,6,5,52,10,22,0
ODISHA,TOTAL,2008,725,373,279,1669,188,1289,0
PUNJAB,AMRITSAR,2008,11,25,4,9,0,50,0
PUNJAB,BARNALA,2008,15,7,2,12,0,52,0
PUNJAB,BATALA,2008,13,9,6,6,0,28,0
PUNJAB,BHATINDA,2008,15,16,1,20,2,36,0
PUNJAB,FARIDKOT,2008,10,5,2,8,0,49,0
PUNJAB,FATEHGARH SAHIB,2008,9,4,1,2,2,14,0
PUNJAB,FEROZEPUR,2008,30,11,7,32,0,34,0
PUNJAB,G.R.P,2008,1,1,3,3,0,0,0
PUNJAB,GURDASPUR,2008,15,4,4,4,0,19,0
PUNJAB,HOSHIARPUR,2008,30,14,7,13,15,51,0
PUNJAB,JAGRAON,2008,12,4,5,9,0,34,0
PUNJAB,JALANDHAR,2008,33,46,13,27,0,107,0
PUNJAB,KAPURTHALA,2008,11,5,2,3,0,37,0
PUNJAB,KHANNA,2008,7,3,2,7,0,14,0
PUNJAB,LUDHIANA,2008,38,47,8,72,175,116,0
PUNJAB,MAJITHA,2008,12,10,3,15,0,29,0
PUNJAB,MANSA,2008,11,6,6,8,0,12,0
PUNJAB,MOGA,2008,9,8,3,16,0,17,0
PUNJAB,MUKTSAR,2008,9,3,1,12,0,10,0
PUNJAB,NAWAN SHAHR,2008,14,10,1,5,0,32,0
PUNJAB,PATIALA,2008,33,30,6,28,0,138,0
PUNJAB,ROPAR,2008,10,9,8,14,3,41,0
PUNJAB,SANGRUR,2008,19,14,12,14,2,56,0
PUNJAB,TARN TARAN,2008,13,4,3,7,0,11,0
PUNJAB,TOTAL,2008,380,295,110,346,199,987,0
RAJASTHAN,AJMER,2008,36,95,17,75,0,284,0
RAJASTHAN,ALWAR,2008,50,60,42,114,0,274,0
RAJASTHAN,BANSWARA,2008,53,51,3,89,2,100,0
RAJASTHAN,BARAN,2008,50,66,3,175,10,187,0
RAJASTHAN,BARMER,2008,16,15,17,72,0,63,0
RAJASTHAN,BHARATPUR,2008,41,68,30,55,0,228,0
RAJASTHAN,BHILWARA,2008,42,112,6,111,0,286,0
RAJASTHAN,BIKANER,2008,27,28,14,50,0,164,0
RAJASTHAN,BUNDI,2008,42,49,4,152,0,198,0
RAJASTHAN,CHITTORGARH,2008,78,164,6,99,3,379,0
RAJASTHAN,CHURU,2008,22,14,15,76,1,173,0
RAJASTHAN,DAUSA,2008,17,21,3,20,0,61,0
RAJASTHAN,DHOLPUR,2008,20,27,21,36,0,92,0
RAJASTHAN,DUNGARPUR,2008,15,29,10,50,1,54,0
RAJASTHAN,G.R.P.,2008,0,0,2,12,2,0,0
RAJASTHAN,GANGANAGAR,2008,75,47,16,69,0,352,0
RAJASTHAN,HANUMANGARH,2008,56,24,18,93,1,254,0
RAJASTHAN,JAIPUR,2008,57,187,32,188,0,482,0
RAJASTHAN,JAISALMER,2008,3,6,4,16,0,13,0
RAJASTHAN,JALORE,2008,6,30,7,72,0,75,0
RAJASTHAN,JHALAWAR,2008,50,51,11,141,1,191,0
RAJASTHAN,JHUNJHUNU,2008,27,33,7,50,0,102,0
RAJASTHAN,JODHPUR,2008,34,62,15,96,4,282,0
RAJASTHAN,KARAULI,2008,34,50,13,80,0,73,0
RAJASTHAN,KOTA,2008,35,115,9,146,2,307,0
RAJASTHAN,NAGAUR,2008,32,27,10,115,0,128,0
RAJASTHAN,PALI,2008,27,65,9,184,1,190,0
RAJASTHAN,RAJSAMAND,2008,12,53,2,32,2,106,0
RAJASTHAN,SAWAI MADHOPUR,2008,21,27,10,56,0,112,0
RAJASTHAN,SIKAR,2008,15,22,17,44,0,111,0
RAJASTHAN,SIROHI,2008,11,32,6,37,0,97,0
RAJASTHAN,TONK,2008,11,48,5,45,1,179,1
RAJASTHAN,UDAIPUR,2008,35,72,5,65,2,136,0
RAJASTHAN,TOTAL,2008,1050,1750,389,2715,33,5733,1
SIKKIM,EAST,2008,5,0,0,11,0,1,0
SIKKIM,NORTH,2008,2,0,0,0,0,0,0
SIKKIM,SOUTH,2008,1,0,0,6,0,0,0
SIKKIM,WEST,2008,2,0,0,8,0,0,0
SIKKIM,TOTAL,2008,10,0,0,25,0,1,0
TAMIL NADU,CHENGAI,2008,17,33,15,100,62,78,0
TAMIL NADU,CHENNAI,2008,38,0,18,90,212,159,0
TAMIL NADU,CHENNAI RLY.,2008,0,0,0,4,2,0,0
TAMIL NADU,COIMBATORE RURAL,2008,16,14,17,79,29,97,0
TAMIL NADU,COIMBATORE URBAN,2008,4,1,1,18,6,24,0
TAMIL NADU,CUDDALORE,2008,19,10,10,73,18,35,0
TAMIL NADU,DHARMAPURI,2008,23,34,16,91,11,36,0
TAMIL NADU,DINDIGUL,2008,18,14,3,51,2,30,0
TAMIL NADU,ERODE,2008,11,33,2,60,10,50,0
TAMIL NADU,KANCHIPURAM,2008,31,16,11,57,60,23,0
TAMIL NADU,KANYAKUMARI,2008,11,9,4,22,33,50,0
TAMIL NADU,KARUR,2008,3,10,2,5,4,24,0
TAMIL NADU,MADURAI RURAL,2008,22,24,13,58,8,63,0
TAMIL NADU,MADURAI URBAN,2008,7,16,10,29,49,35,0
TAMIL NADU,NAGAPATTINAM,2008,5,19,8,50,4,25,0
TAMIL NADU,NAMAKKAL,2008,7,22,6,54,20,41,0
TAMIL NADU,NILGIRIS,2008,9,2,0,39,4,0,0
TAMIL NADU,PERAMBALUR,2008,13,26,3,65,10,42,0
TAMIL NADU,PUDUKOTTAI,2008,8,14,2,52,5,28,0
TAMIL NADU,RAMNATHAPURAM,2008,10,10,3,49,6,45,0
TAMIL NADU,SALEM RURAL,2008,35,62,10,167,9,151,0
TAMIL NADU,SALEM URBAN,2008,11,8,3,11,13,13,0
TAMIL NADU,SIVAGANGAI,2008,4,19,4,17,7,34,0
TAMIL NADU,THANJAVUR,2008,14,22,1,100,14,33,0
TAMIL NADU,THENI,2008,6,5,4,53,7,25,0
TAMIL NADU,THIRUNELVELI RURAL,2008,43,27,11,122,28,41,0
TAMIL NADU,THIRUNELVELI URBAN,2008,4,10,0,11,18,21,0
TAMIL NADU,THIRUVALLUR,2008,14,23,8,70,13,28,0
TAMIL NADU,THIRUVANNAMALAI,2008,25,20,6,37,8,22,0
TAMIL NADU,THIRUVARUR,2008,9,8,2,71,9,19,0
TAMIL NADU,THOOTHUGUDI,2008,21,22,5,76,51,54,0
TAMIL NADU,TRICHY RLY.,2008,0,0,0,0,1,0,0
TAMIL NADU,TRICHY RURAL,2008,7,9,7,16,4,44,1
TAMIL NADU,TRICHY URBAN,2008,6,7,0,5,41,44,0
TAMIL NADU,VELLORE,2008,20,23,6,43,32,17,0
TAMIL NADU,VILLUPURAM,2008,39,40,6,100,29,62,0
TAMIL NADU,VIRUDHUNAGAR,2008,27,20,3,77,42,62,0
TAMIL NADU,TOTAL,2008,557,632,220,2022,881,1555,1
TRIPURA,DHALAI,2008,5,2,2,8,0,10,0
TRIPURA,NORTH,2008,36,4,3,38,0,75,0
TRIPURA,SOUTH,2008,37,7,3,54,0,73,0
TRIPURA,WEST,2008,36,16,12,27,0,89,0
TRIPURA,TOTAL,2008,114,29,20,127,0,247,0
UTTAR PRADESH,AGRA,2008,27,73,55,59,55,183,0
UTTAR PRADESH,ALIGARH,2008,24,60,33,27,14,108,0
UTTAR PRADESH,ALLAHABAD,2008,21,19,40,12,27,77,0
UTTAR PRADESH,AMBEDKAR NAGAR,2008,7,15,10,6,7,16,0
UTTAR PRADESH,AURAIYA,2008,4,10,16,11,24,13,0
UTTAR PRADESH,AZAMGARH,2008,6,23,16,18,39,45,0
UTTAR PRADESH,BADAUN,2008,31,40,28,29,89,15,0
UTTAR PRADESH,BAGHPAT,2008,12,14,10,9,45,23,0
UTTAR PRADESH,BAHRAICH,2008,5,8,7,8,271,17,0
UTTAR PRADESH,BALLIA,2008,2,3,8,8,25,8,0
UTTAR PRADESH,BALRAMPUR,2008,3,4,3,1,45,6,0
UTTAR PRADESH,BANDA,2008,10,6,13,15,17,10,0
UTTAR PRADESH,BARABANKI,2008,12,19,16,11,50,27,0
UTTAR PRADESH,BAREILLY,2008,32,47,37,27,78,84,0
UTTAR PRADESH,BASTI,2008,5,11,14,9,161,15,0
UTTAR PRADESH,BIJNOR,2008,20,23,24,23,254,50,0
UTTAR PRADESH,BULANDSHAHAR,2008,13,30,25,26,98,105,0
UTTAR PRADESH,CHANDOLI,2008,3,2,11,5,14,3,0
UTTAR PRADESH,CHITRAKOOT DHAM,2008,10,0,6,7,0,7,0
UTTAR PRADESH,DEORIA,2008,3,12,21,7,9,14,0
UTTAR PRADESH,ETAH,2008,18,23,38,19,15,37,0
UTTAR PRADESH,ETAWAH,2008,2,9,16,12,6,18,0
UTTAR PRADESH,FAIZABAD,2008,10,11,4,6,42,2,0
UTTAR PRADESH,FATEHGARH,2008,7,9,18,9,68,19,0
UTTAR PRADESH,FATEHPUR,2008,3,14,24,4,19,15,0
UTTAR PRADESH,FIROZABAD,2008,12,32,30,33,89,51,0
UTTAR PRADESH,G.R.P.,2008,3,1,0,6,24,0,0
UTTAR PRADESH,GAUTAMBUDH NAGAR,2008,10,19,14,13,19,23,0
UTTAR PRADESH,GHAZIABAD,2008,15,49,17,18,65,97,0
UTTAR PRADESH,GHAZIPUR,2008,2,8,11,3,24,24,0
UTTAR PRADESH,GONDA,2008,5,8,16,3,215,4,0
UTTAR PRADESH,GORAKHPUR,2008,13,32,18,22,25,36,0
UTTAR PRADESH,HAMIRPUR,2008,10,4,12,15,5,2,0
UTTAR PRADESH,HARDOI,2008,24,31,18,30,83,37,0
UTTAR PRADESH,HATHRAS,2008,21,23,10,19,21,74,0
UTTAR PRADESH,J.P.NAGAR,2008,6,14,13,4,121,24,0
UTTAR PRADESH,JALAUN,2008,6,8,22,11,13,15,0
UTTAR PRADESH,JAUNPUR,2008,4,13,22,6,45,29,0
UTTAR PRADESH,JHANSI,2008,4,8,8,4,209,5,0
UTTAR PRADESH,KANNAUJ,2008,4,22,16,14,28,29,0
UTTAR PRADESH,KANPUR DEHAT,2008,6,20,22,15,118,19,0
UTTAR PRADESH,KANPUR NAGAR,2008,24,57,43,40,147,94,0
UTTAR PRADESH,KAUSHAMBI,2008,17,4,16,7,9,5,0
UTTAR PRADESH,KHIRI,2008,28,40,35,30,213,60,0
UTTAR PRADESH,KUSHI NAGAR,2008,5,9,12,11,97,14,0
UTTAR PRADESH,LALITPUR,2008,5,4,5,4,60,3,0
UTTAR PRADESH,LUCKNOW,2008,38,98,29,63,302,216,0
UTTAR PRADESH,MAHARAJGANJ,2008,4,10,4,7,56,2,0
UTTAR PRADESH,MAHOBA,2008,2,5,9,13,7,3,0
UTTAR PRADESH,MAINPURI,2008,7,19,31,10,6,13,0
UTTAR PRADESH,MATHURA,2008,16,26,18,21,36,65,0
UTTAR PRADESH,MAU,2008,5,10,9,10,69,10,0
UTTAR PRADESH,MEERUT,2008,40,55,31,31,165,199,0
UTTAR PRADESH,MIRZAPUR,2008,6,6,12,6,4,8,0
UTTAR PRADESH,MORADABAD,2008,43,43,24,25,158,112,0
UTTAR PRADESH,MUZAFFARNAGAR,2008,32,36,29,23,205,73,0
UTTAR PRADESH,PILIBHIT,2008,21,20,13,9,137,0,0
UTTAR PRADESH,PRATAPGARH,2008,9,19,24,7,12,38,0
UTTAR PRADESH,RAIBAREILLY,2008,20,25,16,36,102,38,0
UTTAR PRADESH,RAMPUR,2008,13,21,12,12,7,5,0
UTTAR PRADESH,SAHARANPUR,2008,17,50,10,17,70,77,0
UTTAR PRADESH,SANT KABIRNAGAR,2008,0,4,10,5,43,10,0
UTTAR PRADESH,SHAHJAHANPUR,2008,17,60,28,17,63,11,0
UTTAR PRADESH,SHRAWASTI,2008,3,4,4,2,18,5,0
UTTAR PRADESH,SIDHARTHNAGAR,2008,2,7,8,4,7,11,0
UTTAR PRADESH,SITAPUR,2008,47,40,50,53,36,37,0
UTTAR PRADESH,SONBHADRA,2008,5,4,11,7,15,6,0
UTTAR PRADESH,ST.RAVIDASNAGAR,2008,2,1,5,2,3,9,0
UTTAR PRADESH,SULTANPUR,2008,18,19,19,10,81,38,0
UTTAR PRADESH,UNNAO,2008,23,19,42,28,195,45,0
UTTAR PRADESH,VARANASI,2008,7,7,21,4,71,33,0
UTTAR PRADESH,TOTAL,2008,911,1499,1322,1098,4970,2626,0
UTTARAKHAND,ALMORA,2008,1,1,9,6,4,5,0
UTTARAKHAND,BAGESHWAR,2008,4,0,2,3,0,0,0
UTTARAKHAND,CHAMOLI,2008,4,3,3,8,2,1,0
UTTARAKHAND,CHAMPAWAT,2008,1,3,2,5,0,4,0
UTTARAKHAND,DEHRADUN,2008,16,28,11,13,31,85,0
UTTARAKHAND,HARIDWAR,2008,31,25,7,21,36,79,0
UTTARAKHAND,NAINITAL,2008,9,14,12,15,3,30,0
UTTARAKHAND,PAURI GARHWAL,2008,7,14,13,9,0,17,0
UTTARAKHAND,PITHORAGARH,2008,3,0,6,7,0,1,0
UTTARAKHAND,RUDRA PRAYAG,2008,2,2,7,2,0,4,0
UTTARAKHAND,TEHRI GARHWAL,2008,6,4,6,10,0,10,0
UTTARAKHAND,UDHAMSINGH NAGAR,2008,14,34,15,29,20,75,0
UTTARAKHAND,UTTARKASHI,2008,9,6,0,8,2,6,0
UTTARAKHAND,TOTAL,2008,107,134,93,136,98,317,0
WEST BENGAL,24 PARGANAS NORTH,2008,92,103,24,105,3,672,0
WEST BENGAL,24 PARGANAS SOUTH,2008,89,69,47,105,1,822,0
WEST BENGAL,ASANSOL,2008,8,11,4,19,1,128,0
WEST BENGAL,BANKURA,2008,43,11,20,31,0,106,0
WEST BENGAL,BIRBHUM,2008,48,30,13,51,0,164,0
WEST BENGAL,BURDWAN,2008,61,33,26,51,0,301,1
WEST BENGAL,COOCHBEHAR,2008,53,34,11,60,0,176,0
WEST BENGAL,DAKSHIN DINAJPUR,2008,31,32,8,40,1,104,0
WEST BENGAL,DARJEELING,2008,24,26,3,20,0,58,0
WEST BENGAL,HOOGHLY,2008,39,31,14,25,0,383,0
WEST BENGAL,HOWRAH,2008,9,8,12,7,0,59,0
WEST BENGAL,HOWRAH CITY,2008,6,7,5,11,1,65,0
WEST BENGAL,HOWRAH G.R.P.,2008,0,2,0,5,0,1,0
WEST BENGAL,JALPAIGURI,2008,60,23,4,75,1,164,0
WEST BENGAL,KHARAGPUR G.R.P.,2008,0,0,0,0,0,0,0
WEST BENGAL,KOLKATA,2008,36,85,16,185,57,222,0
WEST BENGAL,MALDA,2008,57,20,4,67,1,99,0
WEST BENGAL,MURSHIDABAD,2008,106,84,17,131,0,408,0
WEST BENGAL,NADIA,2008,108,59,23,96,2,299,0
WEST BENGAL,PASCHIM MIDNAPUR,2008,50,45,18,31,2,338,0
WEST BENGAL,PURAB MIDNAPUR,2008,33,49,37,11,0,233,0
WEST BENGAL,PURULIA,2008,25,14,8,34,0,82,0
WEST BENGAL,SEALDAH G.R.P.,2008,0,0,1,2,0,0,0
WEST BENGAL,SILIGURI G.R.P.,2008,0,2,0,1,0,0,0
WEST BENGAL,UTTAR DINAJPUR,2008,24,23,14,23,1,64,0
WEST BENGAL,TOTAL,2008,1002,801,329,1186,71,4948,1
A & N ISLANDS,ANDAMAN,2008,2,2,0,9,2,7,0
A & N ISLANDS,NICOBAR,2008,0,0,0,0,0,0,0
A & N ISLANDS,TOTAL,2008,2,2,0,9,2,7,0
CHANDIGARH,CHANDIGARH,2008,18,28,1,11,4,93,0
CHANDIGARH,TOTAL,2008,18,28,1,11,4,93,0
D & N HAVELI,D and N HAVELI,2008,1,4,0,4,0,2,0
D & N HAVELI,TOTAL,2008,1,4,0,4,0,2,0
DAMAN & DIU,DAMAN,2008,4,1,0,3,0,0,0
DAMAN & DIU,DIU,2008,1,0,1,0,0,0,0
DAMAN & DIU,TOTAL,2008,5,1,1,3,0,0,0
DELHI,CENTRAL,2008,20,40,4,29,10,49,0
DELHI,DELHI UT TOTAL,2008,490,797,130,489,105,1211,0
DELHI,EAST,2008,37,119,15,73,8,190,0
DELHI,G.R.P.(RLY),2008,0,5,3,4,0,0,0
DELHI,I.G.I. AIRPORT,2008,0,1,0,5,1,0,0
DELHI,NEW DELHI,2008,8,16,1,20,8,13,0
DELHI,NORTH,2008,34,44,4,16,8,55,0
DELHI,NORTH EAST,2008,53,133,20,41,5,128,0
DELHI,NORTH WEST,2008,128,191,27,102,14,290,0
DELHI,S.T.F.,2008,0,0,0,0,0,0,0
DELHI,SOUTH,2008,83,102,24,89,21,199,0
DELHI,SOUTH WEST,2008,57,73,22,52,26,119,0
DELHI,WEST,2008,70,73,10,58,4,168,0
LAKSHADWEEP,LAKSHADWEEP,2008,2,0,0,1,0,1,0
LAKSHADWEEP,TOTAL,2008,2,0,0,1,0,1,0
PUDUCHERRY,PONDICHERRY,2008,2,13,1,56,27,4,0
PUDUCHERRY,TOTAL,2008,2,13,1,56,27,4,0
ANDHRA PRADESH,ADILABAD,2009,50,42,14,135,71,296,0
ANDHRA PRADESH,ANANTAPUR,2009,20,31,11,196,50,147,0
ANDHRA PRADESH,CHITTOOR,2009,28,27,22,116,197,234,0
ANDHRA PRADESH,CUDDAPAH,2009,14,31,7,118,49,120,0
ANDHRA PRADESH,CYBERABAD,2009,40,69,43,106,85,517,0
ANDHRA PRADESH,EAST GODAVARI,2009,31,23,13,112,105,293,0
ANDHRA PRADESH,GUNTAKAL RLY.,2009,0,0,0,1,0,0,0
ANDHRA PRADESH,GUNTUR,2009,46,60,32,186,104,397,0
ANDHRA PRADESH,HYDERABAD CITY,2009,56,62,29,144,206,1142,2
ANDHRA PRADESH,KARIMNAGAR,2009,85,98,61,370,155,717,0
ANDHRA PRADESH,KHAMMAM,2009,43,46,18,176,310,400,0
ANDHRA PRADESH,KRISHNA,2009,33,13,13,182,108,362,0
ANDHRA PRADESH,KURNOOL,2009,29,32,6,242,157,230,0
ANDHRA PRADESH,MAHABOOBNAGAR,2009,56,52,21,164,10,251,0
ANDHRA PRADESH,MEDAK,2009,52,32,41,86,54,229,0
ANDHRA PRADESH,NALGONDA,2009,46,57,34,200,66,272,0
ANDHRA PRADESH,NELLORE,2009,107,55,11,173,88,142,0
ANDHRA PRADESH,NIZAMABAD,2009,24,19,17,74,46,339,0
ANDHRA PRADESH,PRAKASHAM,2009,19,37,6,130,24,146,0
ANDHRA PRADESH,RANGA REDDY,2009,25,22,17,49,15,136,0
ANDHRA PRADESH,SECUNDERABAD RLY.,2009,0,0,2,1,0,2,0
ANDHRA PRADESH,SRIKAKULAM,2009,15,13,14,58,11,165,0
ANDHRA PRADESH,VIJAYAWADA,2009,19,43,10,132,196,678,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2009,0,0,0,6,0,1,0
ANDHRA PRADESH,VISAKHA RURAL,2009,18,12,3,54,30,94,0
ANDHRA PRADESH,VISAKHAPATNAM,2009,12,16,1,24,43,243,0
ANDHRA PRADESH,VIZIANAGARAM,2009,14,7,6,53,26,155,0
ANDHRA PRADESH,WARANGAL,2009,53,88,43,228,0,162,0
ANDHRA PRADESH,WEST GODAVARI,2009,81,43,17,301,104,518,0
ANDHRA PRADESH,TOTAL,2009,1016,1030,512,3817,2310,8388,2
ARUNACHAL PRADESH,CHANGLANG,2009,9,5,0,1,0,1,0
ARUNACHAL PRADESH,DIBANG VALLEY,2009,3,0,0,0,0,0,0
ARUNACHAL PRADESH,K/KUMEY,2009,0,1,0,0,0,0,0
ARUNACHAL PRADESH,KAMENG EAST,2009,0,2,0,4,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2009,2,2,0,1,0,0,0
ARUNACHAL PRADESH,LOHIT,2009,5,5,0,8,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,2009,4,4,0,8,0,0,0
ARUNACHAL PRADESH,SIANG EAST,2009,11,10,0,11,0,1,0
ARUNACHAL PRADESH,SIANG UPPER,2009,1,0,0,2,0,0,0
ARUNACHAL PRADESH,SIANG WEST,2009,6,6,0,8,0,0,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2009,0,0,0,1,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2009,0,4,0,3,0,1,0
ARUNACHAL PRADESH,TAWANG,2009,0,0,0,13,0,1,0
ARUNACHAL PRADESH,TIRAP,2009,1,2,0,1,0,0,0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2009,0,0,0,0,0,0,0
ARUNACHAL PRADESH,TOTAL,2009,42,41,0,61,0,4,0
ASSAM,BARPETA,2009,50,60,8,25,4,102,0
ASSAM,BONGAIGAON,2009,41,46,3,12,0,23,0
ASSAM,C.I.D.,2009,0,0,0,0,0,0,0
ASSAM,CACHAR,2009,46,92,4,114,0,256,0
ASSAM,DARRANG,2009,55,38,7,55,0,38,0
ASSAM,DHEMAJI,2009,53,40,0,33,0,74,0
ASSAM,DHUBRI,2009,79,65,9,110,1,183,0
ASSAM,DIBRUGARH,2009,58,68,4,50,0,63,0
ASSAM,G.R.P.,2009,2,3,0,2,0,7,0
ASSAM,GOALPARA,2009,50,51,3,8,0,119,0
ASSAM,GOLAGHAT,2009,62,70,0,31,0,79,0
ASSAM,GUWAHATI CITY,2009,88,228,3,45,0,55,0
ASSAM,HAILAKANDI,2009,18,25,2,4,1,23,0
ASSAM,JORHAT,2009,32,32,0,32,0,35,0
ASSAM,KAMRUP,2009,59,110,3,26,0,67,0
ASSAM,KARBI ANGLONG,2009,14,11,0,8,0,8,0
ASSAM,KARIMGANJ,2009,32,31,8,4,0,67,0
ASSAM,KOKRAJHAR,2009,33,24,2,41,0,45,0
ASSAM,LAKHIMPUR,2009,56,94,1,46,0,112,0
ASSAM,MORIGAON,2009,36,43,2,12,0,23,0
ASSAM,N.C.HILLS,2009,1,6,0,3,0,21,0
ASSAM,NAGAON,2009,91,134,6,69,5,203,0
ASSAM,NALBARI,2009,29,48,3,48,0,23,0
ASSAM,R.P.O.,2009,5,0,0,2,0,7,0
ASSAM,SIBSAGAR,2009,49,81,0,12,0,92,0
ASSAM,SONITPUR,2009,87,101,5,60,0,167,0
ASSAM,TINSUKIA,2009,45,51,1,31,0,53,0
ASSAM,TOTAL,2009,1171,1552,74,883,11,1945,0
BIHAR,ARARIA,2009,34,22,11,13,0,27,0
BIHAR,ARWAL,2009,2,0,16,0,0,10,0
BIHAR,AURANGABAD,2009,18,27,40,0,0,33,0
BIHAR,BAGAHA,2009,23,15,5,12,0,7,0
BIHAR,BANKA,2009,44,22,25,5,0,15,0
BIHAR,BEGUSARAI,2009,23,8,15,5,0,55,0
